acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-1.8565,-10.6887,1.8684,0.5021,1.8943,-0.8226
-1.8637,-9.8484,1.5955,-0.0129,1.5927,-1.3163
-1.4447,-10.5187,2.3065,-0.0231,0.6822,0.1785
-1.8158,-10.9784,3.0727,0.4848,1.0118,0.3429
-3.3289,-11.3112,3.8843,0.3857,1.8938,1.0826
-4.3872,-11.8331,4.5068,0.4558,2.5789,1.7967
-6.6904,-12.3383,5.7111,0.6287,3.5818,2.9465
-8.5435,-13.8778,6.8124,1.2978,5.1308,4.181
-13.8946,-14.9839,2.8165,2.7106,6.3256,6.3125
-19.6622,-13.3247,-1.3111,3.1036,2.9599,8.7112
-15.1874,-7.8564,-1.2345,2.5326,3.9642,8.7112
-4.9714,-11.2154,1.1956,2.5376,3.9815,8.7112
2.4171,-6.8867,-2.5274,3.2805,3.904,8.5817
11.0698,-5.3544,-8.4578,4.6278,4.6799,5.3514
13.3586,0.5425,-18.4129,3.68,7.1378,-1.1383
11.0961,-0.9132,-14.6564,0.193,4.8433,-2.1799
10.7011,-1.313,-15.8679,-0.1795,2.0193,-5.4356
7.7945,-8.5746,-11.7355,-4.0136,-1.0855,-6.9566
6.109,-13.2553,-12.5447,-5.3862,-2.8866,-7.2907
1.7492,-21.2112,-9.9829,-8.6261,-2.5474,-5.706
1.232,-22.3916,-7.0045,-7.7326,-4.0326,-4.1851
9.8033,-23.8425,-6.3653,-7.6823,-5.2943,-2.7494
5.2088,-31.9612,-13.6772,-8.7614,-0.9771,-1.9169
23.0121,-38.6051,11.3614,-5.1682,-4.7635,-1.586
9.7506,-31.6835,26.0857,-5.6537,-1.219,0.3459
6.4849,-24.9677,25.4226,-3.3874,-0.0114,0.2257
0.2504,-17.9695,19.0971,-2.2771,1.2015,0.1044
1.2943,-13.8443,16.8465,-1.5243,-0.1068,-0.392
-1.4208,-10.49,9.6543,-0.5331,0.7896,0.4407
1.1722,-10.3799,6.573,0.1237,0.2135,-0.0951
0.7364,-9.5754,5.7278,0.2628,0.5399,0.1697
0.5114,-9.3575,4.4661,0.4957,1.1269,0.3986
-0.2572,-9.6041,3.7263,0.565,1.1917,0.5465
-0.104,-10.9808,2.5986,1.2821,0.853,0.9163
2.6757,-9.7909,1.4422,1.3623,0.3664,1.0978
3.1139,-6.0583,2.8141,0.0403,1.529,0.5915
3.4466,-5.9051,5.5531,-1.224,1.2761,-1.4235
1.2727,-7.7271,5.3089,-1.5302,3.1568,-2.4627
-4.1789,-12.652,3.9346,-1.2381,4.2986,-3.3473
-6.8436,-11.6895,1.4398,-0.3929,3.2181,-2.8296
-4.0759,-11.1388,1.4638,-1.0969,2.7409,-2.0046
-3.2164,-10.9449,0.5827,-1.2352,3.3516,-1.4109
-3.3026,-10.7151,0.3936,-1.4734,4.2296,-0.8079
-2.6562,-11.3352,0.7359,-0.8973,3.4635,-0.6038
-1.1502,-11.0981,0.3409,-0.6698,2.7766,-0.5814
-1.0975,-11.0335,0.3457,-0.6152,2.2026,-0.8316
0.5928,-10.2769,-0.181,-0.8201,1.5714,-0.4882
0.2049,-9.2833,0.2595,-0.8206,1.3742,-0.3344
2.3238,-9.9178,1.0376,-0.4489,-0.098,-0.2225
3.236,-10.3918,1.1549,0.6711,-0.0839,-0.2276
4.5863,-8.7494,0.5827,-0.07,-0.0024,-0.5313
1.7132,-9.3288,0.8748,-0.5491,0.8207,-0.9478
0.9878,-9.822,0.7192,-0.4649,0.1506,-0.6827
1.8473,-9.5299,0.9107,0.035,0.1287,-0.3587
2.4339,-9.822,0.6497,0.4257,0.2329,-0.311
2.5129,-9.6377,0.0751,0.4272,0.1834,-0.2513
1.9455,-9.1612,-0.114,0.0467,0.3443,-0.0816
2.3046,-9.5419,0.8652,-0.3687,-0.5145,-0.0661
3.1282,-9.6975,1.4686,-0.4563,-0.1098,-0.0216
3.1689,-10.2985,1.4015,-0.0985,-0.1079,-0.2939
3.0732,-10.3368,0.3696,-0.0015,-0.3221,-0.5905
2.2424,-10.5953,0.4031,-0.233,-0.9699,-0.9244
2.7739,-9.8555,0.5276,-0.6506,-1.2683,-0.8695
3.9063,-10.2889,0.3098,-0.8552,-1.0123,-0.599
4.4498,-9.3839,0.8676,-1.1217,-0.4796,-0.6102
4.7778,-10.0207,2.6537,-0.2027,-0.2683,-0.2798
3.37,-9.9824,-1.6918,0.0846,1.0379,-0.1332
3.0995,-8.6058,-1.6008,0.2133,-0.3283,-0.0466
3.5855,-8.6273,-1.4069,0.1629,-0.6166,-0.2899
4.2415,-8.8045,-0.4779,-0.2147,-0.5976,-0.1607
4.1601,-8.9649,-0.0805,-0.0622,-0.7266,-0.1335
4.5504,-8.9457,-0.2217,-0.1766,-0.353,-0.1221
4.3086,-8.8931,-0.4181,0.0001,-0.1796,-0.1538
4.0356,-8.9218,-1.1746,0.0025,-0.3338,-0.1564
4.0596,-8.8332,-0.9209,-0.2314,-0.2227,-0.049
3.7675,-9.0439,-0.4707,-0.2584,-0.3605,-0.1484
4.1505,-8.941,-0.6479,-0.0649,-0.3264,-0.1023
3.8154,-8.9457,-0.8921,-0.1145,-0.2425,-0.0967
4.196,-8.8643,-0.8754,-0.1347,-0.4191,-0.0837
4.4187,-9.0631,-0.8538,-0.0737,-0.1982,-0.1149
